title,artist,album_art_url
Livin' On A Prayer,Bon Jovi,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e021336b31b6a1799f0de5807ac
Someone You Loved,Lewis Capaldi,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02fc2101e6889d6ce9025f85f2
Birds Of A Feather,Billie Eilish,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e0271d62ea7ea8a5be92d3c1f62
Heat Waves,Glass Animals,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02712701c5e263efc8726b1464
Love The Way You Lie,Eminem Featuring Rihanna,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02c08d5fa5c0f1a834acef5100
Shake It Off,Taylor Swift,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e029abdf14e6058bd3903686148
Bring Me To Life,Evanescence Featuring Paul McCoy,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e026af0b476d4783151541af05d
You Belong With Me,Taylor Swift,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e0260cb9332e8c8c7d8e50854b3
Girls Like You,Maroon 5 Featuring Cardi B,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02fc4852898bc6ed85b3e3f89c
Never Gonna Give You Up,Rick Astley,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e0215ebbedaacef61af244262a8
When I Was Your Man,Bruno Mars,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e0249055dce3554e72e82082980
Blinding Lights,The Weeknd,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e028863bc11d2aa12b54f5aeb36
Rude,MAGIC!,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02d4e193f09d2e3d732a82e105
Viva La Vida,Coldplay,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02e21cc1db05580b6f2d2a3b6e
All I Want For Christmas Is You,Mariah Carey,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02c0862332847213b151ffab31
Calm Down,Rema & Selena Gomez,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e02a3a7f38ea2033aa501afd4cf
Someone Like You,Adele,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02827945d7638c464bca9fc647
Can't Help Falling In Love,Elvis Presley With The Jordanaires,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02b184226408f981e3dd17c606
Bad Guy,Billie Eilish,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e0250a3147b4edd7701a876c6ce
Hot N Cold,Katy Perry,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e0231cc26681b0164332fa26634
Cheap Thrills,Sia Featuring Sean Paul,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e0209fc2936525fc269032451c9
Party In The U.S.A.,Miley Cyrus,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02d6c3ad6a2a27471e1d5e8103
Halo,Beyonce,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02802c5f4c1d84e127c0ab8d78
Senorita,Shawn Mendes & Camila Cabello,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02c820f033bd82bef4355d1563
7 Years,Lukas Graham,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e029c2ba50154a64c3c898ec7e2
Don't Let Me Down,The Chainsmokers Featuring Daya,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e0202df2d642b572cf4f284a5c3
God's Plan,Drake,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02f907de96b9a4fbc04accc0d5
Let Her Go,Passenger,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e022753d9786604e09ebdbf0244
Locked Out Of Heaven,Bruno Mars,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e0249055dce3554e72e82082980
Rockstar,Post Malone Featuring 21 Savage,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02b1c4b76e23414c9f20242268
Roar,Katy Perry,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e021e9a057052d59004caf47e22
Heathens,Twenty One Pilots,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e028fd3753c16c3992b8f401418
Radioactive,Imagine Dragons,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02407bd04707c463bbb3410737
Timber,Pitbull Featuring Ke$ha,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e0211b2eb5bcb327273edb57cc4
Africa,Toto,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e02ebd6d20c0082524244ef83df
Eye Of The Tiger,Survivor,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e0228c091d788ec5126817dc07a
We Found Love,Rihanna Featuring Calvin Harris,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02439c7d14cc7e91953b8ab9fd
No One,Alicia Keys,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e02ae33b6bc69fe5405f6884b7e
Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e022a6b364528b128a4a17d100d
...Baby One More Time,Britney Spears,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e0236cf58e3e7cf36a145b1da18
Happier,Marshmello & Bastille,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02dd0a40eecd4b13e4c59988da
Crazy In Love,Beyonce Featuring Jay Z,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e0245680a4a57c97894490a01c1
Stay With Me,Sam Smith,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02aeca5ce27cb0041319cbb734
Shallow,Lady Gaga & Bradley Cooper,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e02b5d4b4ed17ec86c4b3944af2
Diamonds,Rihanna,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e02e24cbbd5cef05ca77ec67df6
This Is What You Came For,Calvin Harris Featuring Rihanna,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e022b0b6b4b5f493dbccacd0de4
Let Me Love You,DJ Snake Featuring Justin Bieber,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02212d776c31027c511f0ee3bc
I'm Yours,Jason Mraz,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e0233091fbb40edc2249e682bf2
Stayin' Alive,Bee Gees,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e0252038992fc6d7868f31d23b7
Hips Don't Lie,Shakira Featuring Wyclef Jean,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e0285432abc16fd92be0d435cb9
7 Rings,Ariana Grande,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e0256ac7b86e090f307e218e9c8
Can't Feel My Face,The Weeknd,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e027fcead687e99583072cc217b
Give Me Everything,"""Pitbull Featuring Ne-Yo, Afrojack & Nayer""",https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e021dc7483a9fcfce54822a2f19
I Like It,"""Cardi B, Bad Bunny & J Balvin""",https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02a0caffda54afd0a65995bbab
Unforgettable,French Montana Featuring Swae Lee,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e024b4936565107c79b2e28de18
Sweet Child O' Mine,Guns N' Roses,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e0221ebf49b3292c3f0f575f0f5
Without Me,Halsey,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e027636e1c9e67eaafc9f49aefd
Dance Monkey,Tones And I,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02d5f839b8f47087f1b6ac5aa9
What Do You Mean?,Justin Bieber,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02f46b9d202509a8f7384b90de
Hello,Adele,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e027b9888dc365b8f957c63df14
Happy,Pharrell Williams,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02e89d2c2a3db129062b3b4e4f
Treat You Better,Shawn Mendes,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e021376b4b16f4bfcba02dc571b
Hey Ya!,OutKast,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e026e88eb6508fd94cd1b745ce2
Smack That,Akon Featuring Eminem,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02d9bcf5565005950b353bc9cf
Demons,Imagine Dragons,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02407bd04707c463bbb3410737
Say You Won't Let Go,James Arthur,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02b5f59a23dd515f62f785984b
Take Me To Church,Hozier,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e027a9bf5f82e32d33d4503fe7b
Without Me,Eminem,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e026ca5c90113b30c3c43ffb8f4
Attention,Charlie Puth,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02897f73256b9128a9d70eaf66
Pumped Up Kicks,Foster the People,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e02121d5f92cf90576907dfb1e5
Stitches,Shawn Mendes,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02d26246b23c8bfa8ce543b3bb
Love Me Like You Do,Ellie Goulding,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02d561c02b977e44b1404db4c6
Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e022a6b364528b128a4a17d100d
Single Ladies (Put A Ring On It),Beyonce,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02802c5f4c1d84e127c0ab8d78
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e026239187793c9e492e687db01
Bad Habits,Ed Sheeran,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e02452eab95b1147fd8376f2006
Can't Stop The Feeling!,Justin Timberlake,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02d965d29d7dcf46ade5a8a7e4
Espresso,Sabrina Carpenter,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e02fd8d7a8d96871e791cb1f626
Cold Heart (PNAU Remix),Elton John & Dua Lipa,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02eb842acacb3238b2bf3b8471
Candy Shop,50 Cent Featuring Olivia,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02a820aa1b74bd56faddaec63c
Another One Bites The Dust,Queen,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e0207744e2ed983efa3e6620a47
Say It Right,Nelly Furtado,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e02a6f439c8957170652f9410e2
Grenade,Bruno Mars,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e027039c1c841fc3dfa2ad8a0d8
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02e6f407c7f3a0ec98845e4431
Chandelier,Sia,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02b55ed804149fffbb5e35ff34
New Rules,Dua Lipa,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e027833c9a792ad032d788d4011
Circles,Post Malone,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e0291bf597d2ed7528de53f71be
I'm Not The Only One,Sam Smith,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02aeca5ce27cb0041319cbb734
Promiscuous,Nelly Furtado Featuring Timbaland,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02a6f439c8957170652f9410e2
Love Story,Taylor Swift,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e0260cb9332e8c8c7d8e50854b3
I Took A Pill In Ibiza,Mike Posner,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e021db27fa11dbafa67857da8f3
Firework,Katy Perry,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e02d20c38f295039520d688a888
Sicko Mode,Travis Scott,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e02daec894c14c0ca42d76eeb32
Hotline Bling,Drake,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e029416ed64daf84936d89e671c
You're Beautiful,James Blunt,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e029489b7675f782feada134658
Drivers License,Olivia Rodrigo,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e028ffc294c1c4362e8472d14cd
We Are Young,fun. Featuring Janelle Monae,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e02a036e1724bc7f2bab15cfda8
Apologize,Timbaland Featuring OneRepublic,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e024ed674ab91bdc566534f9285
Memories,Maroon 5,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e0286a8ab515de4b7aef28cd631
Low,Flo Rida Featuring T-Pain,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e0249ebebcf0bd7042e5ef931be
Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e02ce70cb2d7063cf869f9f1239
There's Nothing Holdin' Me Back,Shawn Mendes,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02ea3ef7697cfd5705b8f47521
Stay,Rihanna Featuring Mikky Ekko,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e02e24cbbd5cef05ca77ec67df6
Here Without You,3 Doors Down,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e0283c39b0d32eb4a2064e1e228
Photograph,Ed Sheeran,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02407981084d79d283e24d428e
Bang Bang,"""Jessie J, Ariana Grande & Nicki Minaj""",https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02853048f8a21f1112fb559cce
Don't Stop The Music,Rihanna,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02f9f27162ab1ed45b8d7a7e98
Payphone,Maroon 5 Featuring Wiz Khalifa,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e02ce7d499847da02a9cbd1c084
24K Magic,Bruno Mars,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02232711f7d66a1e19e89e28c5
Work,Rihanna Featuring Drake,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e026be9bac15995f089579074de
We Belong Together,Mariah Carey,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e0291593c062e0c7c4a20e6eba1
Titanium,David Guetta Featuring Sia,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e0263bf1cd36632031eb3081cb0
Hotel California,Eagles,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02d666181ad183bf7efc7f4105
Good 4 U,Olivia Rodrigo,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02a91c10fe9472d9bd89802e5a
Mood,24kGoldn Featuring iann dior,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02b4141fad9af613c35f55d589
Last Christmas,Wham!,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02f2d2adaa21ad616df6241e7d
Ride,Twenty One Pilots,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02398a381d4b82da1038e14c00
Montero (Call Me By Your Name),Lil Nas X,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e027b98283e5e86ddf0dae96a82
September,"""Earth, Wind & Fire""",https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e022e7558daae7a80e1f5819aa1
Complicated,Avril Lavigne,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02f7ec724fbf97a30869d06240
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e021756c2022529aacfa98d2eb8
Thriller,Michael Jackson,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e0232a7d87248d1b75463483df5
Total Eclipse Of The Heart,Bonnie Tyler,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e028cefe8e2f2cfd63ce073fa96
Where Is The Love?,The Black Eyed Peas,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e025db09bde92cc685403d7068f
Too Good At Goodbyes,Sam Smith,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e0208ab2ffa655b2053660096b0
I Feel It Coming,The Weeknd Featuring Daft Punk,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02a048415db06a5b6fa7ec4e1a
Just Dance,Lady Gaga Featuring Colby O'Donis,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02e691217483df8798445c82e2
Take A Bow,Rihanna,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02f9f27162ab1ed45b8d7a7e98
The Way I Are,Timbaland Featuring Keri Hilson,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02755a9f1e89ad8e8cf91d4956
Side To Side,Ariana Grande Featuring Nicki Minaj,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e0233342c57a9b2c4e04c97b3f5
She Will Be Loved,Maroon 5,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e0292f2d790c6a97b195f66d51e
The Reason,Hoobastank,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e0294f8b5f85bad2c8affe6cc7d
We Don't Talk Anymore,Charlie Puth Featuring Selena Gomez,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e0215145482a542a9adb282250b
Mi Gente,J Balvin & Willy William Featuring Beyonce,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02dda2b86297d3bfb519f8b785
