title,artist,spotify_url,duration_ms,release_year
Love The Way You Lie,Eminem Featuring Rihanna,https://open.spotify.com/track/15JINEqzVMv3SvJTAXAKED,263373,2010.0
Shake It Off,Taylor Swift,https://open.spotify.com/track/1kKlhuQE0HXp1IwBRpaH2P,219200,2014.0
Bring Me To Life,Evanescence Featuring Paul McCoy,https://open.spotify.com/track/0COqiPhxzoWICwFCS4eZcp,235893,2003.0
You Belong With Me,Taylor Swift,https://open.spotify.com/track/4kgTdThcDHfuDS2kKxB7Lc,231146,2008.0
Girls Like You,Maroon 5 Featuring Cardi B,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,235545,2018.0
Never Gonna Give You Up,Rick Astley,https://open.spotify.com/track/4cOdK2wGLETKBW3PvgPWqT,213573,1987.0
When I Was Your Man,Bruno Mars,https://open.spotify.com/track/0nJW01T7XtvILxQgC5J7Wh,213826,2012.0
Careless Whisper,Wham! Featuring George Michael,,,
Blinding Lights,The Weeknd,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,201573,2019.0
Rude,MAGIC!,https://open.spotify.com/track/6RtPijgfPKROxEzTHNRiDp,224849,2014.0
Viva La Vida,Coldplay,https://open.spotify.com/track/3Fcfwhm8oRrBvBZ8KGhtea,242373,2008.0
All I Want For Christmas Is You,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,241562,1994.0
Calm Down,Rema & Selena Gomez,https://open.spotify.com/track/0WtM2NBVQNNJLh6scP13H8,239317,2022.0
Someone Like You,Adele,https://open.spotify.com/track/6QPKYGnAW9QozVz2dSWqRg,285240,2011.0
Can't Help Falling In Love,Elvis Presley With The Jordanaires,https://open.spotify.com/track/44AyOl4qVkzS48vBsbNXaC,185877,1961.0
Bad Guy,Billie Eilish,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,194087,2019.0
Hot N Cold,Katy Perry,https://open.spotify.com/track/0iGckQFyv6svOfAbAY9aWJ,220226,2008.0
Cheap Thrills,Sia Featuring Sean Paul,https://open.spotify.com/track/7BPw9h8vCIX94N0rjFU12S,211666,2016.0
Party In The U.S.A.,Miley Cyrus,https://open.spotify.com/track/3E7dfMvvCLUddWissuqMwr,202066,2009.0
Halo,Beyonce,https://open.spotify.com/track/2CvOqDpQIMw69cCzWqr5yr,261160,2008.0
Senorita,Shawn Mendes & Camila Cabello,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,190799,2019.0
7 Years,Lukas Graham,https://open.spotify.com/track/23ihGIrYOSzNNGJ6STAxI4,237300,2015.0
Don't Let Me Down,The Chainsmokers Featuring Daya,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK,208373,2016.0
God's Plan,Drake,https://open.spotify.com/track/6T8cJz5lAqGer9GUHGyelE,198960,2018.0
Let Her Go,Passenger,https://open.spotify.com/track/3ZxsClaR81YqW3GTSvCTke,252733,2012.0
Locked Out Of Heaven,Bruno Mars,https://open.spotify.com/track/3w3y8KPTfNeOKPiqUTakBh,233478,2012.0
Rockstar,Post Malone Featuring 21 Savage,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,218320,2017.0
Roar,Katy Perry,https://open.spotify.com/track/27tNWlhdAryQY04Gb2ZhUI,223546,2013.0
Heathens,Twenty One Pilots,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,195920,2016.0
Radioactive,Imagine Dragons,https://open.spotify.com/track/6Ep6BzIOB9tz3P4sWqiiAB,186813,2012.0
Timber,Pitbull Featuring Ke$ha,https://open.spotify.com/track/3cHyrEgdyYRjgJKSOiOtcS,204134,2012.0
Africa,Toto,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX,295282,1982.0
Eye Of The Tiger,Survivor,https://open.spotify.com/track/2HHtWyy5CgaQbC7XSoOb0e,243773,1982.0
We Found Love,Rihanna Featuring Calvin Harris,https://open.spotify.com/track/5uImkHXfTLkNYwemtGH7kB,215226,2012.0
No One,Alicia Keys,https://open.spotify.com/track/6IwKcFdiRQZOWeYNhUiWIv,253813,2007.0
Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn,258342,2012.0
...Baby One More Time,Britney Spears,https://open.spotify.com/track/3MjUtNVVq3C8Fn0MP3zhXa,211066,1999.0
Happier,Marshmello & Bastille,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,214289,2018.0
Crazy In Love,Beyonce Featuring Jay Z,https://open.spotify.com/track/0TwBtDAWpkpM3srywFVOV5,235933,2003.0
Stay With Me,Sam Smith,https://open.spotify.com/track/62NVyyEBiRxGae3SeB97nl,172723,2015.0
Shallow,Lady Gaga & Bradley Cooper,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,215733,2018.0
Diamonds,Rihanna,https://open.spotify.com/track/6O20JhBJPePEkBdrB5sqRx,225146,2012.0
This Is What You Came For,Calvin Harris Featuring Rihanna,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y,221900,2016.0
TiK ToK,Ke$ha,,,
Let Me Love You,DJ Snake Featuring Justin Bieber,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,205946,2016.0
I'm Yours,Jason Mraz,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW,242946,2008.0
Stayin' Alive,Bee Gees,https://open.spotify.com/track/5ubvP9oKmxLUVq506fgLhk,285373,2020.0
Hips Don't Lie,Shakira Featuring Wyclef Jean,https://open.spotify.com/track/3ZFTkvIE7kyPt6Nu3PEa7V,218093,2005.0
7 Rings,Ariana Grande,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,178626,2019.0
